id	multiplicon	genome	list	first	last	order
1	1	reesei	CP016233.1	mRNA_2629	mRNA_775	0
2	1	atroviride	contig_1	Tatro_001680-T1	Tatro_001975-T1	1
3	2	reesei	CP016233.1	mRNA_684	mRNA_5367	0
4	2	atroviride	contig_1	Tatro_001194-T1	Tatro_001370-T1	1
5	3	reesei	CP016234.1	mRNA_7996	mRNA_6957	0
6	3	atroviride	contig_2	Tatro_004137-T1	Tatro_004269-T1	1
7	4	reesei	CP016234.1	mRNA_6868	mRNA_4525	0
8	4	atroviride	contig_2	Tatro_003801-T1	Tatro_003968-T1	1
9	5	atroviride	contig_7	Tatro_010400-T1	Tatro_010545-T1	0
10	5	reesei	CP016236.1	mRNA_2535	mRNA_3404	1
11	6	reesei	CP016233.1	mRNA_5696	mRNA_7268	0
12	6	atroviride	contig_1	Tatro_000905-T1	Tatro_001039-T1	1
13	7	reesei	CP016234.1	mRNA_6858	mRNA_4965	0
14	7	atroviride	contig_2	Tatro_004279-T1	Tatro_004426-T1	1
15	8	atroviride	contig_3	Tatro_005162-T1	Tatro_005248-T1	0
16	8	reesei	CP016232.1	mRNA_8148	mRNA_7628	1
17	9	reesei	CP016238.1	mRNA_8104	mRNA_7237	0
18	9	atroviride	contig_4	Tatro_007496-T1	Tatro_007626-T1	1
19	10	reesei	CP016234.1	mRNA_4085	mRNA_743	0
20	10	atroviride	contig_2	Tatro_004013-T1	Tatro_004111-T1	1
21	11	reesei	CP016233.1	mRNA_4731	mRNA_2197	0
22	11	atroviride	contig_1	Tatro_000510-T1	Tatro_000618-T1	1
23	12	atroviride	contig_5	Tatro_009064-T1	Tatro_009119-T1	0
24	12	reesei	CP016234.1	mRNA_1525	mRNA_1191	1
25	13	reesei	CP016233.1	mRNA_2924	mRNA_5128	0
26	13	atroviride	contig_1	Tatro_000760-T1	Tatro_000865-T1	1
27	14	atroviride	contig_7	Tatro_010645-T1	Tatro_010693-T1	0
28	14	reesei	CP016236.1	mRNA_134	mRNA_2220	1
29	15	atroviride	contig_9	Tatro_011650-T1	Tatro_011711-T1	0
30	15	reesei	CP016235.1	mRNA_86	mRNA_2365	1
31	16	reesei	CP016235.1	mRNA_3759	mRNA_1425	0
32	16	atroviride	contig_1	Tatro_001416-T1	Tatro_001494-T1	1
33	17	atroviride	contig_3	Tatro_006511-T1	Tatro_006592-T1	0
34	17	reesei	CP016232.1	mRNA_7607	mRNA_7147	1
35	18	reesei	CP016234.1	mRNA_8156	mRNA_7765	0
36	18	atroviride	contig_2	Tatro_003623-T1	Tatro_003685-T1	1
37	19	atroviride	contig_5	Tatro_008757-T1	Tatro_008841-T1	0
38	19	reesei	CP016236.1	mRNA_4733	mRNA_6011	1
39	20	atroviride	contig_6	Tatro_009622-T1	Tatro_009719-T1	0
40	20	reesei	CP016232.1	mRNA_6734	mRNA_5499	1
41	21	atroviride	contig_6	Tatro_009998-T1	Tatro_010136-T1	0
42	21	reesei	CP016232.1	mRNA_4240	mRNA_377	1
43	22	atroviride	contig_3	Tatro_006230-T1	Tatro_006326-T1	0
44	22	reesei	CP016232.1	mRNA_5834	mRNA_4267	1
45	23	atroviride	contig_9	Tatro_011750-T1	Tatro_011829-T1	0
46	23	reesei	CP016235.1	mRNA_3469	mRNA_1410	1
47	24	atroviride	contig_3	Tatro_006053-T1	Tatro_006105-T1	0
48	24	reesei	CP016232.1	mRNA_1483	mRNA_6744	1
49	25	reesei	CP016233.1	mRNA_4837	mRNA_5521	0
50	25	atroviride	contig_1	Tatro_000855-T1	Tatro_000888-T1	1
51	26	atroviride	contig_4	Tatro_007377-T1	Tatro_007437-T1	0
52	26	reesei	CP016232.1	mRNA_10	mRNA_2109	1
53	27	atroviride	contig_3	Tatro_005519-T1	Tatro_005643-T1	0
54	27	reesei	CP016232.1	mRNA_5795	mRNA_7300	1
55	28	atroviride	contig_2	Tatro_002920-T1	Tatro_002982-T1	0
56	28	reesei	CP016232.1	mRNA_3030	mRNA_1161	1
57	29	reesei	CP016235.1	mRNA_9000	mRNA_9044	0
58	29	atroviride	contig_3	Tatro_006002-T1	Tatro_006051-T1	1
59	30	reesei	CP016237.1	mRNA_1195	mRNA_1349	0
60	30	atroviride	contig_3	Tatro_005832-T1	Tatro_005894-T1	1
61	31	reesei	CP016234.1	mRNA_6883	mRNA_4909	0
62	31	atroviride	contig_2	Tatro_003159-T1	Tatro_003302-T1	1
63	32	atroviride	contig_5	Tatro_008179-T1	Tatro_008232-T1	0
64	32	reesei	CP016236.1	mRNA_8190	mRNA_8422	1
65	33	atroviride	contig_8	Tatro_010890-T1	Tatro_010953-T1	0
66	33	reesei	CP016237.1	mRNA_566	mRNA_2638	1
67	34	atroviride	contig_3	Tatro_005519-T1	Tatro_005643-T1	0
68	34	reesei	CP016232.1	mRNA_5795	mRNA_7300	1
69	35	atroviride	contig_9	Tatro_011487-T1	Tatro_011619-T1	0
70	35	reesei	CP016235.1	mRNA_3198	mRNA_5974	1
71	36	reesei	CP016233.1	mRNA_6649	mRNA_6121	0
72	36	atroviride	contig_1	Tatro_000409-T1	Tatro_000461-T1	1
73	37	reesei	CP016238.1	mRNA_6047	mRNA_5113	0
74	37	atroviride	contig_4	Tatro_007000-T1	Tatro_007071-T1	1
75	38	reesei	CP016235.1	mRNA_8348	mRNA_5564	0
76	38	atroviride	contig_1	Tatro_000196-T1	Tatro_000262-T1	1
77	39	atroviride	contig_9	Tatro_011483-T1	Tatro_011623-T1	0
78	39	reesei	CP016235.1	mRNA_3188	mRNA_6022	1
79	40	reesei	CP016234.1	mRNA_3473	mRNA_1570	0
80	40	atroviride	contig_2	Tatro_003518-T1	Tatro_003586-T1	1
81	41	atroviride	contig_7	Tatro_010182-T1	Tatro_010209-T1	0
82	41	reesei	CP016236.1	mRNA_745	mRNA_1050	1
83	42	reesei	CP016234.1	mRNA_8638	mRNA_8368	0
84	42	atroviride	contig_2	Tatro_003383-T1	Tatro_003479-T1	1
85	43	reesei	CP016233.1	mRNA_4127	mRNA_2942	0
86	43	atroviride	contig_1	Tatro_001999-T1	Tatro_002052-T1	1
87	44	reesei	CP016234.1	mRNA_5125	mRNA_3954	0
88	44	atroviride	contig_2	Tatro_004416-T1	Tatro_004472-T1	1
89	45	atroviride	contig_5	Tatro_008299-T1	Tatro_008330-T1	0
90	45	reesei	CP016236.1	mRNA_6562	mRNA_6911	1
91	46	reesei	CP016235.1	mRNA_3540	mRNA_8939	0
92	46	atroviride	contig_4	Tatro_006783-T1	Tatro_006911-T1	1
93	47	reesei	CP016233.1	mRNA_7156	mRNA_6929	0
94	47	atroviride	contig_1	Tatro_000294-T1	Tatro_000333-T1	1
95	48	atroviride	contig_5	Tatro_008178-T1	Tatro_008213-T1	0
96	48	reesei	CP016236.1	mRNA_8284	mRNA_8427	1
97	49	reesei	CP016235.1	mRNA_4320	mRNA_3924	0
98	49	atroviride	contig_1	Tatro_000112-T1	Tatro_000132-T1	1
99	50	atroviride	contig_7	Tatro_010244-T1	Tatro_010283-T1	0
100	50	reesei	CP016236.1	mRNA_1798	mRNA_272	1
101	51	reesei	CP016234.1	mRNA_8638	mRNA_8465	0
102	51	atroviride	contig_2	Tatro_003408-T1	Tatro_003479-T1	1
103	52	reesei	CP016238.1	mRNA_2621	mRNA_356	0
104	52	atroviride	contig_4	Tatro_006932-T1	Tatro_006988-T1	1
105	53	atroviride	contig_5	Tatro_008233-T1	Tatro_008268-T1	0
106	53	reesei	CP016236.1	mRNA_8079	mRNA_8204	1
107	54	atroviride	contig_3	Tatro_005109-T1	Tatro_005161-T1	0
108	54	reesei	CP016232.1	mRNA_7619	mRNA_7165	1
109	55	reesei	CP016238.1	mRNA_1469	mRNA_32	0
110	55	atroviride	contig_2	Tatro_003480-T1	Tatro_003517-T1	1
111	56	reesei	CP016237.1	mRNA_6274	mRNA_5315	0
112	56	atroviride	contig_3	Tatro_005012-T1	Tatro_005077-T1	1
113	57	atroviride	contig_5	Tatro_008497-T1	Tatro_008542-T1	0
114	57	reesei	CP016236.1	mRNA_8695	mRNA_8726	1
115	58	atroviride	contig_5	Tatro_008383-T1	Tatro_008414-T1	0
116	58	reesei	CP016236.1	mRNA_8569	mRNA_8635	1
117	59	atroviride	contig_6	Tatro_009779-T1	Tatro_009840-T1	0
118	59	reesei	CP016232.1	mRNA_4618	mRNA_3148	1
119	60	reesei	CP016235.1	mRNA_3795	mRNA_2626	0
120	60	atroviride	contig_4	Tatro_006772-T1	Tatro_006825-T1	1
121	61	reesei	CP016235.1	mRNA_2759	mRNA_553	0
122	61	atroviride	contig_4	Tatro_006819-T1	Tatro_006877-T1	1
123	62	atroviride	contig_5	Tatro_008905-T1	Tatro_008946-T1	0
124	62	reesei	CP016236.1	mRNA_2257	mRNA_3249	1
125	63	atroviride	contig_8	Tatro_011030-T1	Tatro_011086-T1	0
126	63	reesei	CP016237.1	mRNA_4410	mRNA_5387	1
127	64	reesei	CP016233.1	mRNA_4364	mRNA_2733	0
128	64	atroviride	contig_1	Tatro_000030-T1	Tatro_000098-T1	1
129	65	atroviride	contig_6	Tatro_009508-T1	Tatro_009550-T1	0
130	65	reesei	CP016235.1	mRNA_9113	mRNA_8273	1
131	66	atroviride	contig_8	Tatro_011183-T1	Tatro_011220-T1	0
132	66	reesei	CP016237.1	mRNA_8918	mRNA_8888	1
133	67	atroviride	contig_3	Tatro_005201-T1	Tatro_005272-T1	0
134	67	reesei	CP016232.1	mRNA_411	mRNA_7928	1
135	68	reesei	CP016234.1	mRNA_920	mRNA_540	0
136	68	atroviride	contig_2	Tatro_002749-T1	Tatro_002781-T1	1
137	69	atroviride	contig_2	Tatro_002988-T1	Tatro_003027-T1	0
138	69	reesei	CP016232.1	mRNA_4083	mRNA_3185	1
139	70	atroviride	contig_3	Tatro_004900-T1	Tatro_004973-T1	0
140	70	reesei	CP016232.1	mRNA_3050	mRNA_4948	1
141	71	atroviride	contig_5	Tatro_008845-T1	Tatro_008876-T1	0
142	71	reesei	CP016236.1	mRNA_3494	mRNA_4394	1
143	72	atroviride	contig_8	Tatro_011328-T1	Tatro_011331-T1	0
144	72	atroviride	contig_3	Tatro_006335-T1	Tatro_006338-T1	1
145	73	atroviride	contig_3	Tatro_004912-T1	Tatro_005006-T1	0
146	73	reesei	CP016232.1	mRNA_3451	mRNA_5447	1
147	74	reesei	CP016234.1	mRNA_8636	mRNA_8381	0
148	74	atroviride	contig_2	Tatro_003386-T1	Tatro_003476-T1	1
149	75	reesei	CP016234.1	mRNA_7387	mRNA_6868	0
150	75	atroviride	contig_2	Tatro_003747-T1	Tatro_003801-T1	1
151	76	reesei	CP016233.1	mRNA_18	mRNA_1197	0
152	76	atroviride	contig_1	Tatro_000662-T1	Tatro_000695-T1	1
153	77	reesei	CP016237.1	mRNA_2876	mRNA_2284	0
154	77	atroviride	contig_3	Tatro_005766-T1	Tatro_005789-T1	1
155	78	atroviride	contig_10	Tatro_002645-T1	Tatro_002650-T1	0
156	78	atroviride	contig_7	Tatro_010296-T1	Tatro_010305-T1	1
157	79	reesei	CP016233.1	mRNA_5485	mRNA_4518	0
158	79	atroviride	contig_1	Tatro_000464-T1	Tatro_000521-T1	1
159	80	atroviride	contig_8	Tatro_010956-T1	Tatro_011006-T1	0
160	80	reesei	CP016237.1	mRNA_3019	mRNA_4134	1
161	81	atroviride	contig_3	Tatro_004912-T1	Tatro_005006-T1	0
162	81	reesei	CP016232.1	mRNA_3451	mRNA_5447	1
163	82	atroviride	contig_3	Tatro_006374-T1	Tatro_006397-T1	0
164	82	reesei	CP016232.1	mRNA_6517	mRNA_6315	1
165	83	reesei	CP016234.1	mRNA_7483	mRNA_6668	0
166	83	atroviride	contig_2	Tatro_003733-T1	Tatro_003825-T1	1
167	84	atroviride	contig_6	Tatro_010011-T1	Tatro_010089-T1	0
168	84	reesei	CP016232.1	mRNA_3904	mRNA_2056	1
169	85	reesei	CP016234.1	mRNA_4251	mRNA_3606	0
170	85	atroviride	contig_2	Tatro_003356-T1	Tatro_003380-T1	1
171	86	atroviride	contig_5	Tatro_008332-T1	Tatro_008373-T1	0
172	86	reesei	CP016236.1	mRNA_8439	mRNA_8564	1
173	87	atroviride	contig_6	Tatro_009946-T1	Tatro_009967-T1	0
174	87	reesei	CP016232.1	mRNA_973	mRNA_48	1
175	88	atroviride	contig_10	Tatro_002538-T1	Tatro_002585-T1	0
176	88	reesei	CP016232.1	mRNA_6732	mRNA_6332	1
177	89	reesei	CP016234.1	mRNA_5735	mRNA_4540	0
178	89	atroviride	contig_2	Tatro_003898-T1	Tatro_003967-T1	1
179	90	reesei	CP016233.1	mRNA_1060	mRNA_3233	0
180	90	atroviride	contig_1	Tatro_001738-T1	Tatro_001829-T1	1
181	91	atroviride	contig_3	Tatro_006601-T1	Tatro_006642-T1	0
182	91	reesei	CP016232.1	mRNA_7859	mRNA_7655	1
183	92	reesei	CP016238.1	mRNA_8421	mRNA_8344	0
184	92	atroviride	contig_3	Tatro_004853-T1	Tatro_004872-T1	1
185	93	atroviride	contig_3	Tatro_005394-T1	Tatro_005453-T1	0
186	93	reesei	CP016232.1	mRNA_7785	mRNA_8085	1
187	94	reesei	CP016238.1	mRNA_3071	mRNA_2447	0
188	94	atroviride	contig_4	Tatro_007922-T1	Tatro_007953-T1	1
189	95	atroviride	contig_6	Tatro_009779-T1	Tatro_009840-T1	0
190	95	reesei	CP016232.1	mRNA_4618	mRNA_3148	1
191	96	atroviride	contig_10	Tatro_002420-T1	Tatro_002430-T1	0
192	96	reesei	CP016237.1	mRNA_7194	mRNA_7115	1
193	97	atroviride	contig_3	Tatro_005383-T1	Tatro_005453-T1	0
